No finite field groups found,N.V.T,Goed
OCSP stapling is not offered,vanderveen.nl/213.136.12.251,Voldoende
RSA Keysize: 4096,vanderveen.nl/213.136.12.251,Goed
X-Content-Type-Options found: nosniff,vanderveen.nl/213.136.12.251,Goed
X25519,vanderveen.nl/213.136.12.251,Goed
finding,ip,result
not vulnerable,vanderveen.nl/213.136.12.251,Goed
prime256v1,vanderveen.nl/213.136.12.251,Goed
secp384r1,vanderveen.nl/213.136.12.251,Goed
supported,vanderveen.nl/213.136.12.251,Goed
